date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:55	176/176	---M--	200	added ('OK')	text/plain	etag:%225fdb5b62-b0%22	./robots.txt		(from )
14:24:56	54778/54778	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:55%20GMT	./	D:/DienLanh/DIENLANH/sanpham/index.html	(from )
14:24:56	49811/49811	---M--	200	added ('OK')	image/png	etag:%225fdb5b63-c293%22	./uploads/File/favicon.png	D:/DienLanh/DIENLANH/sanpham/uploads/File/favicon.png	(from ./)
14:24:56	51652/51652	---M--	200	added ('OK')	image/png	etag:%226690f143-c9c4%22	./uploads/logo-nhiet-lanh-loc-thien-phat.png	D:/DienLanh/DIENLANH/sanpham/uploads/logo-nhiet-lanh-loc-thien-phat.png	(from ./)
14:24:56	124566/124566	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:56%20GMT	./bang-gia.html	D:/DienLanh/DIENLANH/sanpham/bang-gia.html	(from ./)
14:24:57	49796/49796	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:57%20GMT	./gioi-thieu.html	D:/DienLanh/DIENLANH/sanpham/gioi-thieu.html	(from ./)
14:24:57	37975/37975	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:57%20GMT	./tam-nhin-va-su-menh.html	D:/DienLanh/DIENLANH/sanpham/tam-nhin-va-su-menh.html	(from ./)
14:24:58	35860/35860	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:58%20GMT	./gia-tri-cot-loi.html	D:/DienLanh/DIENLANH/sanpham/gia-tri-cot-loi.html	(from ./)
14:24:59	41615/41615	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:58%20GMT	./dien-lanh-cong-nghiep.html	D:/DienLanh/DIENLANH/sanpham/dien-lanh-cong-nghiep.html	(from ./)
14:25:00	67476/67476	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:24:59%20GMT	./sua-chua-bao-tri-may-say-khi.html	D:/DienLanh/DIENLANH/sanpham/sua-chua-bao-tri-may-say-khi.html	(from ./)
14:25:00	84950/84950	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:00%20GMT	./lap-dat-sua-chua-bao-tri-kho-lanh.html	D:/DienLanh/DIENLANH/sanpham/lap-dat-sua-chua-bao-tri-kho-lanh.html	(from ./)
14:25:02	91628/91628	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:01%20GMT	./cung-cap-sua-chua-bao-tri-may-lanh-chiller.html	D:/DienLanh/DIENLANH/sanpham/cung-cap-sua-chua-bao-tri-may-lanh-chiller.html	(from ./)
14:25:02	69429/69429	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:02%20GMT	./cung-cap-may-lanh-cong-nghiep-1641632249.html	D:/DienLanh/DIENLANH/sanpham/cung-cap-may-lanh-cong-nghiep-1641632249.html	(from ./)
14:25:03	92916/92916	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:03%20GMT	./tu-van-thiet-ke-lap-dat.html	D:/DienLanh/DIENLANH/sanpham/tu-van-thiet-ke-lap-dat.html	(from ./)
14:25:03	105946/105946	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:03%20GMT	./bao-tri-sua-chua-he-thong-dien-lanh-cong-nghiep.html	D:/DienLanh/DIENLANH/sanpham/bao-tri-sua-chua-he-thong-dien-lanh-cong-nghiep.html	(from ./)
14:25:04	41167/41167	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:04%20GMT	./dien-lanh-dan-dung.html	D:/DienLanh/DIENLANH/sanpham/dien-lanh-dan-dung.html	(from ./)
14:25:06	82826/82826	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:05%20GMT	./sua-chua-may-lanh.html	D:/DienLanh/DIENLANH/sanpham/sua-chua-may-lanh.html	(from ./)
14:25:06	70884/70884	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:06%20GMT	./ve-sinh-may-lanh.html	D:/DienLanh/DIENLANH/sanpham/ve-sinh-may-lanh.html	(from ./)
14:25:07	83202/83202	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:07%20GMT	./lap-dat-may-lanh.html	D:/DienLanh/DIENLANH/sanpham/lap-dat-may-lanh.html	(from ./)
14:25:07	51596/51596	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:07%20GMT	./cung-cap-may-lanh-dan-dung.html	D:/DienLanh/DIENLANH/sanpham/cung-cap-may-lanh-dan-dung.html	(from ./)
14:25:08	99137/99137	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:08%20GMT	./sua-chua-may-giat.html	D:/DienLanh/DIENLANH/sanpham/sua-chua-may-giat.html	(from ./)
14:25:09	51263/51263	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:09%20GMT	./ve-sinh-may-giat.html	D:/DienLanh/DIENLANH/sanpham/ve-sinh-may-giat.html	(from ./)
14:25:10	56143/56143	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:09%20GMT	./sua-chua-tu-lanh-1614412192.html	D:/DienLanh/DIENLANH/sanpham/sua-chua-tu-lanh-1614412192.html	(from ./)
14:25:11	168288/168288	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:11%20GMT	./san-pham.html	D:/DienLanh/DIENLANH/sanpham/san-pham.html	(from ./)
14:25:12	49221/49221	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:12%20GMT	./ban-tin.html	D:/DienLanh/DIENLANH/sanpham/ban-tin.html	(from ./)
14:25:12	33714/33714	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:12%20GMT	./chinh-sach-cong-ty.html	D:/DienLanh/DIENLANH/sanpham/chinh-sach-cong-ty.html	(from ./)
14:25:12	38733/38733	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:12%20GMT	./chinh-sach-giao-nhan.html	D:/DienLanh/DIENLANH/sanpham/chinh-sach-giao-nhan.html	(from ./)
14:25:13	46706/46706	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:13%20GMT	./phuong-thuc-thanh-toan.html	D:/DienLanh/DIENLANH/sanpham/phuong-thuc-thanh-toan.html	(from ./)
14:25:13	51449/51449	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:13%20GMT	./chinh-sach-bao-hanh.html	D:/DienLanh/DIENLANH/sanpham/chinh-sach-bao-hanh.html	(from ./)
14:25:13	37037/37037	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:13%20GMT	./khuyen-mai.html	D:/DienLanh/DIENLANH/sanpham/khuyen-mai.html	(from ./)
14:25:14	44286/44286	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:14%20GMT	./kinh-nghiem-meo-vat.html	D:/DienLanh/DIENLANH/sanpham/kinh-nghiem-meo-vat.html	(from ./)
14:25:15	42990/42990	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:14%20GMT	./tin-tuc.html	D:/DienLanh/DIENLANH/sanpham/tin-tuc.html	(from ./)
14:25:15	39121/39121	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:15%20GMT	./tin-tong-hop.html	D:/DienLanh/DIENLANH/sanpham/tin-tong-hop.html	(from ./)
14:25:16	42092/42092	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:16%20GMT	./tin-chuyen-nganh.html	D:/DienLanh/DIENLANH/sanpham/tin-chuyen-nganh.html	(from ./)
14:25:17	33560/33560	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2007:25:17%20GMT	./lien-he.html	D:/DienLanh/DIENLANH/sanpham/lien-he.html	(from ./)
14:25:17	175852/175852	---M--	200	added ('OK')	image/jpeg	etag:%225fe7508f-2aeec%22	./uploads/weblink/3-banner-index-2.jpg	D:/DienLanh/DIENLANH/sanpham/uploads/weblink/3-banner-index-2.jpg	(from ./)
